Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Melbourne,Bandar Seri Begawan,Outbound,Passengers,2233
2024,Melbourne,Bangkok,Outbound,Passengers,15019
2024,Melbourne,Beijing,Outbound,Passengers,5006
2024,Melbourne,Bombay,Outbound,Passengers,3254
2024,Melbourne,Chengdu,Outbound,Passengers,3495
2024,Melbourne,Chicago,Outbound,Passengers,0
2024,Melbourne,Christchurch,Outbound,Passengers,9962
2024,Melbourne,Colombo,Outbound,Passengers,7040
2024,Melbourne,Dallas,Outbound,Passengers,2665
2024,Melbourne,Denpasar,Outbound,Passengers,43739
2024,Melbourne,Doha,Outbound,Passengers,19306
2024,Melbourne,Dubai,Outbound,Passengers,28645
2024,Melbourne,Guangzhou,Outbound,Passengers,11193
2024,Melbourne,Haikou,Outbound,Passengers,3322
2024,Melbourne,Hangzhou,Outbound,Passengers,0
2024,Melbourne,Hanoi,Outbound,Passengers,2445
2024,Melbourne,Ho Chi Minh City,Outbound,Passengers,16469
2024,Melbourne,Hong Kong,Outbound,Passengers,20044
2024,Melbourne,Honolulu,Outbound,Passengers,2275
2024,Melbourne,Istanbul,Outbound,Passengers,2900
2024,Melbourne,Jakarta,Outbound,Passengers,2144
2024,Melbourne,Kuala Lumpur,Outbound,Passengers,18633
2024,Melbourne,London,Outbound,Passengers,1240
2024,Melbourne,Los Angeles,Outbound,Passengers,10384
2024,Melbourne,Manila,Outbound,Passengers,7669
2024,Melbourne,Nadi,Outbound,Passengers,12015
2024,Melbourne,Nanjing,Outbound,Passengers,0
2024,Melbourne,New Delhi,Outbound,Passengers,7993
2024,Melbourne,New York,Outbound,Passengers,0
2024,Melbourne,Noumea,Outbound,Passengers,393
2024,Melbourne,Phuket,Outbound,Passengers,3981
2024,Melbourne,Port Vila,Outbound,Passengers,133
2024,Melbourne,Qingdao,Outbound,Passengers,818
2024,Melbourne,Queenstown,Outbound,Passengers,4829
2024,Melbourne,San Francisco,Outbound,Passengers,5466
2024,Melbourne,Santiago,Outbound,Passengers,3115
2024,Melbourne,Seoul,Outbound,Passengers,0
2024,Melbourne,Shanghai,Outbound,Passengers,10596
2024,Melbourne,Singapore,Outbound,Passengers,67613
2024,Melbourne,Taipei,Outbound,Passengers,3278
2024,Melbourne,Tokyo,Outbound,Passengers,9498
2024,Melbourne,Wellington,Outbound,Passengers,6665
2024,Melbourne,Xiamen,Outbound,Passengers,5616
