Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Port Vila,Sydney,384.0,509.0,2048.0,2078.0,0.3,0.5,0.3,5.0,False
Qingdao,Sydney,1141.0,1009.0,1689.0,2037.0,101.1,22.4,122.8,11.4,False
Queenstown,Sydney,11850.0,10214.0,12310.0,10552.0,0.0,0.0,0.0,0.1,False
Rarotonga,Sydney,2786.0,2936.0,3312.0,3407.0,0.0,0.0,0.0,0.1,False
San Francisco,Sydney,7797.0,8319.0,8039.0,8676.0,357.0,425.9,190.2,130.4,False
Santiago,Sydney,6548.0,6451.0,8683.0,8170.0,362.2,207.8,141.9,263.6,False
Seoul,Sydney,28318.0,28476.0,24648.0,25338.0,908.8,356.8,976.3,319.2,False
Shanghai,Sydney,14581.0,15366.0,16605.0,17520.0,962.9,653.4,1023.4,742.6,False
Shenzhen,Sydney,2654.0,2759.0,3532.0,3503.0,346.8,176.5,376.0,100.3,False
Singapore,Sydney,64256.0,65485.0,63176.0,64086.0,3876.8,2376.6,3947.4,1940.5,False
Taipei,Sydney,3973.0,4790.0,4444.0,4782.0,263.9,103.0,190.9,98.4,False
Taiyuan,Sydney,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Tianjin,Sydney,192.0,168.0,125.0,203.0,0.0,14.0,0.0,0.0,False
Tokyo,Sydney,28132.0,30189.0,30730.0,30808.0,1255.1,354.5,1277.3,426.2,False
Tongatapu,Sydney,483.0,558.0,721.0,985.0,0.0,0.2,0.0,0.4,False
Toronto,Sydney,1368.0,1207.0,1123.0,1347.0,76.6,172.0,13.3,0.0,False
Vancouver,Sydney,8472.0,9539.0,8930.0,9715.0,151.9,168.3,212.2,300.7,False
Wellington,Sydney,10576.0,8818.0,10005.0,8609.0,16.0,10.2,5.4,6.1,False
Wuhan,Sydney,1548.0,1343.0,1682.0,1265.0,98.0,1.8,69.6,3.1,False
Xiamen,Sydney,6292.0,6408.0,6192.0,6308.0,362.0,142.1,373.5,229.8,False
Xi'an,Sydney,424.0,391.0,939.0,688.0,29.0,6.4,29.9,156.1,False
Zhengzhou,Sydney,1184.0,986.0,956.0,942.0,61.9,14.3,38.7,3.6,False
Hong Kong,Toowoomba Wellcamp,0.0,0.0,0.0,0.0,52.2,91.1,19.9,65.5,False
Abu Dhabi,Australia,13671.0,18651.0,16407.0,18928.0,610.7,504.2,377.2,541.0,True
Apia,Australia,2292.0,2998.0,2312.0,2371.0,0.0,1.5,0.0,0.3,True
Auckland,Australia,147042.0,139501.0,155149.0,145432.0,3422.9,4450.6,2768.0,3773.2,True
Bandar Seri Begawan,Australia,1807.0,2233.0,2726.0,2691.0,101.3,215.2,148.1,241.9,True
Bangalore,Australia,4799.0,4833.0,4323.0,4361.0,51.1,8.6,84.1,0.0,True
Bangkok,Australia,39019.0,37285.0,53435.0,51548.0,2100.4,669.0,2233.8,857.5,True
Beijing,Australia,8544.0,9431.0,7591.0,8098.0,433.8,288.5,253.0,132.4,True
Bombay,Australia,2968.0,3254.0,0.0,0.0,22.8,15.7,0.0,0.0,True
Chengdu,Australia,5983.0,7054.0,8148.0,9431.0,245.4,100.7,280.2,136.4,True
Chicago,Australia,0.0,0.0,0.0,0.0,857.8,0.0,516.0,1.6,True
Chongqing,Australia,539.0,528.0,849.0,892.0,40.6,62.2,54.5,5.7,True
Christchurch,Australia,37970.0,33686.0,42258.0,34965.0,618.4,139.9,490.2,185.3,True
Colombo,Australia,10702.0,9552.0,12641.0,11593.0,326.3,230.5,313.1,372.6,True
Dallas,Australia,7378.0,8868.0,8724.0,9379.0,108.6,65.2,103.4,3.2,True
Denpasar,Australia,150811.0,161561.0,170506.0,173575.0,685.8,622.0,616.2,441.1,True
Dili,Australia,1187.0,1155.0,1291.0,1372.0,0.1,1.2,0.0,0.4,True
